Company Name,Annual Revenue (US$ m)
CVS Health Corp,268706
McKesson Corp,238228
Cardinal Health Inc,162467
Anthem Inc,121867
Kaiser Permanente,84538
Johnson & Johnson,82584
The Procter & Gamble Co,76118
HCA Healthcare Inc,51533
Merck & Co Inc,47994
AbbVie Inc,45804
Bristol Myers Squibb Co,42518
Pfizer Inc,41908
Abbott Laboratories,34608
Thermo Fisher Scientific Inc,32218
Blue Cross Blue Shield of Michigan,30220
CommonSpirit Health,29579
Amgen Inc,25424
Ascension Health Alliance,25261.514
Gilead Sciences Inc,24689
Eli Lilly and Co,24539.8
Danaher Corp,22284
University of Pittsburgh Medical Center,21000
The Alliance for Regenerative Medicine,19900
Trinity Health,18833.027
GE Healthcare,18009
Tenet Healthcare Corp,17640
Becton Dickinson and Co,17117
Colgate-Palmolive Co,16471
Alberta Health Services,15274.704
Stryker Corp,14351
Laboratory Corp of America Holdings,13978.5
Mayo Clinic,13819
Biogen Inc,13444.6
Sutter Health,13304
Advocate Aurora Health Care,12805.423
Viatris Inc,11946
Ecolab Inc,11790.2
Community Health Systems Inc,11789
Baxter International Inc,11673
Universal Health Services Inc,11558.897
DaVita Inc,11550.604
IQVIA Holdings Inc,11359
Atrium Health,10700
The Cleveland Clinic Foundation,10627.906
Henry Schein Inc,10119.141
Boston Scientific Corp,9913
Sandoz Inc,9731
Banner Health,9426.648
Air Products and Chemicals Inc,8856.3
Regeneron Pharmaceuticals Inc,8497.1
Univar Solutions Inc,8265
Organon & Co,8096
Bausch Health Companies Inc,8027
University of Michigan,7955.609
Spectrum Health System,7260.369
Science Applications International Corp,7056
Zimmer Biomet Holdings Inc,7024.5
Indiana University Health Inc,6700
Vertex Pharmaceuticals Inc,6205.683
Alexion Pharmaceuticals Inc,6069.9
University of Texas MD Anderson Cancer Center,5878.4
Celanese Corp,5655
Stanford Health Care,5567.576
Select Medical Holdings Corp,5531.713
Northwestern Memorial Hospital,5520.61
University of Washington,5511.451
Mercy,5500
Memorial Sloan Kettering Cancer Center,5483.376
Agilent Technologies Inc,5339
Aurora Health Care Inc,5334.104
SSM Health Care,5222.972
McLaren Health Care Corp,5100
Church & Dwight Co Inc,4895.8
PPD Inc,4681.474
Encompass Health Corp,4644.4
FMC Corp,4642.1
Iowa Health System,4588.466
Magellan Health Inc,4577.531
Syneos Health Inc,4415.777
Allina Health,4322
Bemis Company Inc (Inactive),4089.9
Catalent Inc,3998
Duke University Health System Inc,3836.786
Sharp HealthCare,3800
PerkinElmer Inc,3782.745
Hologic Inc,3776.4
Washington University in St Louis,3749.702
Triple-S Management Corp,3702.438
Darling Ingredients Inc,3571.923
Yale New Haven Hospital Inc,3500
Corporativo Fragua SAB de CV,3413.5396
Dentsply Sirona Inc,3342
Cytiva,3300
GMS Inc,3298.823
PRA Health Sciences Inc,3183.365
Varian Medical Systems Inc,3168.2
Albemarle Corp,3128.909
Kindred Healthcare LLC,3100
Mettler-Toledo International Inc,3085.177
Option Care Health Inc,3032.61
AptarGroup Inc,2929.34
Charles River Laboratories International Inc,2923.933
Harvard Pilgrim Health Care Inc,2900
Rutgers University,2878.114
Idexx Laboratories Inc,2706.655
Incyte Corp,2666.702
Rush University System for Health,2656.593
Nu Skin Enterprises Inc,2581.934
CIncinnati Children's Hospital Medical Center,2571.843
Bio-Rad Laboratories Inc,2545.626
Teleflex Inc,2537.156
The Cooper Companies Inc,2430.9
The Ensign Group Inc,2402.596
Option Care Enterprises Inc,2310.4
Seagen Inc,2175.536
South Broward Hospital District,2159.666
West Pharmaceutical Services Inc,2146.9
Royalty Pharma??Plc,2122.353
Acadia Healthcare Co Inc,2089.93
Chemed Corp,2079.583
LHC Group Inc,2063.204
Purdue University,2020.343
Amneal Pharmaceuticals Inc,1992.52
Bruker Corp,1987.5
DexCom Inc,1926.7
BioMarin Pharmaceutical Inc,1860.455
Surgery Partners Inc,1860.1
Ortho Clinical Diagnostics Holdings Plc,1766.2
Lee Memorial Health System,1750.4954
Mednax Inc,1733.951
W. R. Grace & Co,1729.8
Quidel Corp,1661.668
University of Southern California,1575.446
City of Hope,1555.575
Emergent BioSolutions Inc,1555.4
Allscripts Healthcare Solutions Inc,1502.7
Aveanna Healthcare Holdings Inc,1495.105
United Therapeutics Corp,1483.3
Nuance Communications Inc,1478.899
OPKO Health Inc,1435.413
The Research Foundation for the State University of New York,1392.0168
Integra LifeSciences Holdings Corp,1371.868
The Providence Service Corporation,1368.675
ICU Medical Inc,1271.004
Agilon Health Inc,1218.333
Masimo Corp,1143.744
USANA Health Sciences Inc,1134.644
Sage Therapeutics Inc,1114.2
Apria Inc,1108.717
RadNet Inc,1071.84
GDI Integrated Facility Services Inc,1052.734
Neurocrine Biosciences Inc,1045.9
Eastman Kodak Company,1029
HC2 Holdings Inc,1005.8
Exelixis Inc,987.538
Alignment Healthcare Inc,959.222
Georgia State University,955.423
Prestige Consumer Healthcare Inc.,943.365
Medpace Holdings Inc,925.925
University of Cincinnati,905.06
Omnicell Inc,892.208
Haemonetics Corp,870.463
The Hospital for Sick Children,848.7949
Save The Children Federation Inc,835.873
American Renal Associates Holdings Inc,822.522
Sotera Health Co,818.158
"Privia Health Group, Inc",817.075
Moderna Inc,803.395
Blueprint Medicines Corp,793.74
"PetIQ, Inc.",780.051
Augusta University,738.42
Ionis Pharmaceuticals Inc,729.264
American Cancer Society Inc,724.208
Avanos Medical Inc,714.8
Fred Hutchinson Cancer Research Center,713.959
Inovalon Holdings Inc,667.524
Genomma Lab Internacional SAB de CV,645.805
Myriad Genetics Inc,638.6
Medidata Solutions Inc,635.696
Signify Health Inc,610.6
Hawkins Inc,596.871
InnovAge Holding Corp,567.192
Penumbra Inc,560.412
Sarepta Therapeutics Inc,540.099
Supernus Pharmaceuticals Inc,520.397
Tilray Inc,513.085
SRI International,500
Diversicare Healthcare Services Inc,499.52
Tandem Diabetes Care Inc,498.83
Alnylam Pharmaceuticals Inc,492.853
Lannett Co Inc,478.778
Coherus BioSciences Inc,475.824
Novavax Inc,475.598
NeoGenomics Inc,444.448
Acadia Pharmaceuticals Inc,441.755
Pacira BioSciences Inc,429.647
US Physical Therapy Inc,422.969
Fulgent Genetics Inc,421.712
Medical College of Wisconsin,420.02
Aphria Inc,409.5726
Canopy Growth Corp,407.6732
Exponent Inc,399.9
Accuray Inc,396.289
Natera Inc,391.005
Ironwood Pharmaceuticals Inc,389.523
Nature's Sunshine Products Inc,385.205
PTC Therapeutics Inc,380.766
LifeStance Health Inc,377.217
Sheppard Pratt Health System Inc,374.2
Repligen Corp,366.26
Medical Facilities Corp,363.854
Nevro Corp,362.048
Corcept Therapeutics Inc,353.874
Alzheimer's Association,352.026
Amphastar Pharmaceuticals Inc,349.846
Lantheus Medical Imaging Inc,347.337
Lantheus Holdings Inc,339.41
Organogenesis Holdings Inc,338.298
Innoviva Inc,336.794
Denali Therapeutics Inc,335.659
Bioventus Inc,321.161
Cold Spring Harbor Laboratory,318.0544
Intercept Pharmaceuticals Inc,312.69
Collegium Pharmaceutical Inc,310.016
National Jewish Health,296.6
Akebia Therapeutics Inc,295.307
AngioDynamics Inc,291.01
Maravai LifeSciences Holdings Inc,284.098
Convey Holding Parent Inc,282.914
Ultragenyx Pharmaceutical Inc,271.03
Halozyme Therapeutics Inc,267.594
iRhythm Technologies Inc,265.166
Osmotica Pharmaceutical Corp,263.7013
Amicus Therapeutics Inc,260.886
Cardiovascular Systems Inc,258.973
Meridian Bioscience Inc,253.667
CryoLife Inc,253.227
bluebird bio Inc,250.734
Apellis Pharmaceuticals Inc,250.646
MiMedx Group Inc,248.234
Vanda Pharmaceuticals Inc,248.168
American Well Corp,245.265
Radius Health Inc,238.645
AbCellera Biologics Inc,233.155
Esperion Therapeutics Inc,227.547
Puma Biotechnology Inc,225.11
Glaukos Corp,224.959
LifeVantage Corp,220.181
ANI Pharmaceuticals Inc,208.475
Medica Sur SAB de CV,207.9491
AtriCure Inc,206.531
Agios Pharmaceuticals Inc,203.196
Travere Therapeutics Inc,198.321
"Care.com, Inc.",192.26
CareDx Inc,192.194
Health Catalyst Inc,188.845
Eagle Pharmaceuticals Inc,187.802
Ligand Pharmaceuticals Inc,186.419
National Research Council of Canada,183.6
Osmotica Pharmaceuticals Plc,177.884
FibroGen Inc,176.319
Transcat Inc,173.335
Amyris Inc,173.137
OraSure Technologies Inc,171.721
Voyager Therapeutics Inc,171.128
